Provider,Category,Feature,Protocol,Raw_Value,Score,Provenance
AdGuard VPN,EaseOfUse,_section_total,Overall,,4.30,calculated
AdGuard VPN,EaseOfUse,Apps for major platforms,Overall,all_4,1.00,manual_admin
AdGuard VPN,EaseOfUse,Browser extensions,Overall,1_plus,0.50,editorial_default
AdGuard VPN,EaseOfUse,Ease of cancellation,Overall,very_easy,0.40,editorial_default
AdGuard VPN,EaseOfUse,Linux support,Overall,app_with_gui,0.50,editorial_default
AdGuard VPN,EaseOfUse,Live chat quality,Overall,email_only,0.10,editorial_default
AdGuard VPN,EaseOfUse,Quick connect,Overall,yes,0.80,manual_admin
AdGuard VPN,EaseOfUse,Router support,Overall,app_or_firmware,0.50,editorial_default
AdGuard VPN,EaseOfUse,Streaming device apps eou,Overall,2_plus,0.50,editorial_default
AdGuard VPN,EaseOfUse,Task specific servers,Overall,no,0.00,manual_admin
AdGuard VPN,Security,_section_total,Overall,,6.00,calculated
AdGuard VPN,Security,Anonymous payment,Overall,multiple,0.40,editorial_default
AdGuard VPN,Security,Authentication strength,Overall,,,manual_admin
AdGuard VPN,Security,Dns leak pass rate,Overall,tier_pass,0.80,editorial_default
AdGuard VPN,Security,Encryption strength,Overall,aes_128_or_higher,0.60,manual_admin
AdGuard VPN,Security,Hq jurisdiction,Overall,outside_14_eyes,0.50,calculated
AdGuard VPN,Security,Independent audit,Overall,none,0.00,editorial_default
AdGuard VPN,Security,Ipv4 leak pass rate,Overall,tier_pass,0.30,editorial_default
AdGuard VPN,Security,Ipv6 leak pass rate,Overall,tier_pass,0.80,editorial_default
AdGuard VPN,Security,Kill switch effectiveness,Overall,effective,0.60,editorial_default
AdGuard VPN,Security,No logs policy status,Overall,logs_kept,0.00,editorial_default
AdGuard VPN,Security,Obfuscation available,Overall,yes,0.50,manual_admin
AdGuard VPN,Security,Perfect forward secrecy,Overall,yes,0.30,manual_admin
AdGuard VPN,Security,Restrictive region access,Overall,yes,0.30,editorial_default
AdGuard VPN,Security,Rsa key length,Overall,2048,0.10,manual_admin
AdGuard VPN,Security,Webrtc leak pass rate,Overall,tier_pass,0.80,editorial_default
AdGuard VPN,Speed,_section_total,Overall,,7.80,calculated
AdGuard VPN,Speed,_section_total_v3_global,Overall,,5.00,editorial_default
AdGuard VPN,Speed,_section_total_v3_uk,Overall,,5.00,editorial_default
AdGuard VPN,Speed,Connection time,Overall,tier_okay,0.05,editorial_default
AdGuard VPN,Speed,Download tier,Overall,tier_good,2.65,editorial_default
AdGuard VPN,Speed,Jitter tier,Overall,tier_good,0.20,editorial_default
AdGuard VPN,Speed,Latency tier,Overall,tier_good,1.50,editorial_default
AdGuard VPN,Speed,Long distance speed,Overall,tier_consistent,1.00,editorial_default
AdGuard VPN,Speed,Packet loss tier,Overall,tier_good,0.40,editorial_default
AdGuard VPN,Speed,Speed consistency,Overall,tier_consistent,1.00,editorial_default
AdGuard VPN,Speed,Upload tier,Overall,tier_good,1.00,editorial_default
AdGuard VPN,Streaming,_section_total,Overall,,0.30,calculated
AdGuard VPN,Streaming,Android tv app,Overall,,0.00,comparitech_api
AdGuard VPN,Streaming,Browser extensions,Overall,yes,,editorial_default
AdGuard VPN,Streaming,Includes ad blocker,Overall,,0.00,comparitech_api
AdGuard VPN,Streaming,Number of locations in relevant country,Overall,<5,1.20,comparitech_api
AdGuard VPN,Streaming,Offers a smart dns service,Overall,,0.00,comparitech_api
AdGuard VPN,Streaming,Simultaneous stream capacity,Overall,4_plus,0.30,editorial_default
AdGuard VPN,Streaming,Streaming device apps,Overall,none,0.00,calculated
AdGuard VPN,Streaming,Streaming unblock toolkit,Overall,no,0.00,editorial_default
AdGuard VPN,Streaming,Tier1 streaming,Overall,most_3_or_4,,editorial_default
AdGuard VPN,Streaming,Tier2 streaming,Overall,most_3_or_4,,editorial_default
AdGuard VPN,Streaming,Tier3 streaming,Overall,most_3_or_4,,editorial_default
AdGuard VPN,Streaming,Works in high censorship countries,Overall,,0.00,comparitech_api
AdGuard VPN,SystemPerformance,_section_total,Overall,,4.00,calculated
AdGuard VPN,SystemPerformance,Cpu tier,Overall,tier_okay,1.20,editorial_default
AdGuard VPN,SystemPerformance,Idle delta cpu tier,Overall,tier_okay,0.00,editorial_default
AdGuard VPN,SystemPerformance,Load efficiency tier,Overall,tier_okay,4.00,editorial_default
AdGuard VPN,SystemPerformance,Network overhead tier,Overall,tier_okay,1.00,editorial_default
AdGuard VPN,SystemPerformance,Ram delta tier,Overall,tier_okay,0.00,editorial_default
AdGuard VPN,SystemPerformance,Ram tier,Overall,tier_okay,1.20,editorial_default
AdGuard VPN,ValueForMoney,_section_total,Overall,,6.46,calculated
AdGuard VPN,ValueForMoney,Anonymous payments vfm,Overall,multiple,0.50,editorial_default
AdGuard VPN,ValueForMoney,Clear cancellation,Overall,yes,0.50,editorial_default
AdGuard VPN,ValueForMoney,Connection limit tier,Overall,10_plus,1.36,editorial_default
AdGuard VPN,ValueForMoney,Country count,Overall,30_to_59,,manual_admin
AdGuard VPN,ValueForMoney,Free trial available,Overall,yes,0.40,manual_admin
AdGuard VPN,ValueForMoney,Includes av,Overall,no,0.00,manual_admin
AdGuard VPN,ValueForMoney,Includes dark web monitor,Overall,no,0.00,editorial_default
AdGuard VPN,ValueForMoney,Includes password manager,Overall,no,0.00,editorial_default
AdGuard VPN,ValueForMoney,Intro lowest price tier,Overall,under_3_usd,1.00,editorial_default
AdGuard VPN,ValueForMoney,Money back duration,Overall,30_to_44,0.90,editorial_default
AdGuard VPN,ValueForMoney,Monthly price tier,Overall,10_to_12,0.70,editorial_default
AdGuard VPN,ValueForMoney,Pricing consistency,Overall,extreme,0.30,editorial_default
