provider_slug,provider_display_name,service,target_region,runs,verdict_tests,working,partial,blocked,latest_status,last_tested_utc,is_proxied
cyberghost,CyberGhost,bbc_iplayer,GB,6,6,0,0,6,blocked,2026-06-25T03:46:24Z,false
cyberghost,CyberGhost,disney_plus,GB,6,11,0,0,11,blocked,2026-06-25T03:46:50Z,false
cyberghost,CyberGhost,disney_plus,US,6,11,0,0,11,blocked,2026-06-25T03:49:38Z,false
cyberghost,CyberGhost,hulu,US,6,11,0,0,11,blocked,2026-06-25T03:49:38Z,true
cyberghost,CyberGhost,itvx,GB,11,11,11,0,0,working,2026-06-25T03:46:28Z,false
cyberghost,CyberGhost,netflix,DE,9,18,16,0,2,working,2026-06-25T03:52:16Z,false
cyberghost,CyberGhost,netflix,FR,9,15,14,0,1,working,2026-06-25T03:57:15Z,false
cyberghost,CyberGhost,netflix,GB,11,33,32,0,1,working,2026-06-25T03:46:46Z,false
cyberghost,CyberGhost,netflix,JP,9,15,15,0,0,working,2026-06-25T03:59:46Z,false
cyberghost,CyberGhost,netflix,US,6,27,27,0,0,working,2026-06-25T03:49:34Z,false
expressvpn,ExpressVPN,bbc_iplayer,GB,12,12,12,0,0,working,2026-06-25T03:06:50Z,false
expressvpn,ExpressVPN,disney_plus,GB,6,11,11,0,0,working,2026-06-17T10:11:12Z,false
expressvpn,ExpressVPN,disney_plus,US,6,11,9,0,2,blocked,2026-06-17T10:14:01Z,false
expressvpn,ExpressVPN,hulu,US,6,11,9,0,2,blocked,2026-06-17T10:14:01Z,true
expressvpn,ExpressVPN,itvx,GB,12,12,12,0,0,working,2026-06-25T03:06:54Z,false
expressvpn,ExpressVPN,netflix,DE,11,22,22,0,0,working,2026-06-25T03:13:35Z,false
expressvpn,ExpressVPN,netflix,FR,11,22,22,0,0,working,2026-06-25T03:15:36Z,false
expressvpn,ExpressVPN,netflix,GB,11,33,33,0,0,working,2026-06-25T03:07:12Z,false
expressvpn,ExpressVPN,netflix,JP,11,22,22,0,0,working,2026-06-25T03:17:52Z,false
expressvpn,ExpressVPN,netflix,US,12,36,36,0,0,working,2026-06-25T03:11:29Z,false
ipvanish,IPVanish,bbc_iplayer,GB,8,8,8,0,0,working,2026-06-11T14:24:33Z,false
ipvanish,IPVanish,disney_plus,GB,6,10,10,0,0,working,2026-06-11T14:25:28Z,false
ipvanish,IPVanish,disney_plus,US,8,12,12,0,0,working,2026-06-17T11:09:09Z,false
ipvanish,IPVanish,hulu,US,8,12,12,0,0,working,2026-06-17T11:09:09Z,true
ipvanish,IPVanish,itvx,GB,8,8,8,0,0,working,2026-06-11T14:24:39Z,false
ipvanish,IPVanish,netflix,DE,11,22,22,0,0,working,2026-06-17T11:11:17Z,false
ipvanish,IPVanish,netflix,FR,9,18,17,0,1,working,2026-06-17T11:13:14Z,false
ipvanish,IPVanish,netflix,GB,8,24,22,0,2,working,2026-06-11T14:25:02Z,false
ipvanish,IPVanish,netflix,JP,11,22,22,0,0,working,2026-06-17T11:15:31Z,false
